item,Date,Machine,A,P,Q,OEE,Remark,color,Target,date2
281,2021-08-10,07W118,100,93.38,100,93.38,,#059918,85,2022-03-08
282,2021-08-10,08W015,100,94.31,100,94.31,,#059918,85,2022-03-09
283,2021-08-10,08W032,100,64.78,100,64.78,N/A TEST,#ff0000,85,2022-03-10
284,2021-08-10,45W021,100,98.86,100,98.86,,#059918,85,2022-03-11
285,2021-08-11,07W118,100,95.42,100,95.42,,#059918,85,2022-03-12
286,2021-08-11,08W015,100,99.09,100,99.09,,#059918,85,2022-03-13
287,2021-08-11,08W032,100,87.7,100,87.7,,#059918,85,2022-03-14
288,2021-08-11,45W021,100,99.09,100,99.09,,#059918,85,2022-03-15
289,2021-08-12,07W118,100,92.86,100,92.86,,#059918,85,2022-03-16
290,2021-08-12,08W015,100,93.21,100,93.21,,#059918,85,2022-03-17
291,2021-08-12,08W032,100,86.56,100,86.56,,#059918,85,2022-03-18
292,2021-08-12,45W021,100,99.39,100,99.39,,#059918,85,2022-03-19
293,2021-08-13,07W118,100,90.53,100,90.53,,#059918,85,2022-03-20
294,2021-08-13,08W015,100,85.6,100,85.6,,#059918,85,2022-03-21
295,2021-08-13,08W032,100,93.31,100,93.31,,#059918,85,2022-03-22
296,2021-08-13,45W021,100,97.03,100,97.03,,#059918,85,2022-03-23
297,2021-08-14,07W118,100,94.55,100,94.55,,#059918,85,2022-03-24
298,2021-08-14,08W015,100,93.8,100,93.8,,#059918,85,2022-03-25
299,2021-08-14,08W032,100,91.5,100,91.5,,#059918,85,2022-03-26
300,2021-08-14,45W021,100,97.56,100,97.56,,#059918,85,2022-03-27
301,2021-08-15,07W118,100,94.55,100,94.55,,#059918,85,2022-03-28
302,2021-08-15,08W015,100,93.8,100,93.8,,#059918,85,2022-03-29
303,2021-08-15,08W032,100,91.5,100,91.5,,#059918,85,2022-03-30
304,2021-08-15,45W021,100,97.56,100,97.56,,#059918,85,2022-03-31
305,2021-08-16,07W118,100,91.11,100,91.11,,#059918,85,2022-04-01
306,2021-08-16,08W015,100,97.55,100,97.55,,#059918,85,2022-04-02
307,2021-08-16,08W032,100,85.56,100,85.56,,#059918,85,2022-04-03
308,2021-08-16,45W021,100,97.75,100,97.75,,#059918,85,2022-04-04
309,2021-08-17,07W118,100,91.24,100,91.24,,#059918,85,2022-04-05
310,2021-08-17,08W015,100,85.89,100,85.89,,#059918,85,2022-04-06
311,2021-08-17,08W032,100,99.09,100,99.09,,#059918,85,2022-04-07
312,2021-08-17,45W021,100,98.32,100,98.32,,#059918,85,2022-04-08
313,2021-08-18,07W118,100,96.6,100,96.6,,#059918,85,2022-04-09
314,2021-08-18,08W015,100,85.38,100,85.38,,#059918,85,2022-04-10
315,2021-08-18,08W032,100,85.88,100,85.88,,#059918,85,2022-04-11
316,2021-08-18,45W021,100,93.53,100,93.53,,#059918,85,2022-04-12
317,2021-08-19,07W118,100,99.29,100,99.29,,#059918,85,2022-04-13
318,2021-08-19,08W015,100,86.67,100,86.67,,#059918,85,2022-04-14
319,2021-08-19,08W032,100,87.14,100,87.14,,#059918,85,2022-04-15
320,2021-08-19,45W021,100,92.77,100,92.77,,#059918,85,2022-04-16
321,2021-08-20,07W118,100,86.8,100,86.8,,#059918,85,2022-04-17
322,2021-08-20,08W015,100,96.12,100,96.12,,#059918,85,2022-04-18
323,2021-08-20,08W032,100,98.51,100,98.51,,#059918,85,2022-04-19
324,2021-08-20,45W021,100,98.97,100,98.97,,#059918,85,2022-04-20
325,2021-08-21,07W118,100,86.16,100,86.16,,#059918,85,2022-04-21
326,2021-08-21,08W015,100,96.64,100,96.64,,#059918,85,2022-04-22
327,2021-08-21,08W032,100,86.78,100,86.78,,#059918,85,2022-04-23
328,2021-08-21,45W021,100,96.44,100,96.44,,#059918,85,2022-04-24
329,2021-08-22,07W118,100,86.81,100,86.81,,#059918,85,2022-04-25
330,2021-08-22,08W015,100,97.87,100,97.87,,#059918,85,2022-04-26
331,2021-08-22,08W032,100,91.93,100,91.93,,#059918,85,2022-04-27
332,2021-08-22,45W021,100,86.78,100,86.78,,#059918,85,2022-04-28
333,2021-08-23,07W118,100,86.68,100,86.68,,#059918,85,2022-04-29
334,2021-08-23,08W015,100,95,100,95,,#059918,85,2022-04-30
